Factories	3
gJobs	250
gStage	8
Number of Machines at each stage
2	3	2	2	3	1	3	1	
Processing times of jobs
30	4	16	8	8	3	17	28	
7	3	1	14	29	20	18	25	
17	18	18	4	13	4	12	15	
19	14	21	24	6	11	22	12	
2	20	16	16	24	23	25	29	
28	11	19	18	2	29	26	5	
23	7	2	29	13	12	9	21	
21	12	22	21	28	4	15	18	
7	25	4	22	1	29	8	12	
23	17	8	22	24	22	29	29	
8	8	17	18	15	6	28	27	
3	1	17	11	6	24	7	19	
4	29	14	13	21	13	3	3	
1	25	12	1	9	24	29	19	
13	8	26	1	11	4	16	21	
30	23	7	9	22	14	10	20	
21	12	8	12	6	27	23	8	
5	13	14	4	17	25	5	27	
4	26	19	24	23	8	16	18	
13	20	14	22	17	28	5	13	
8	18	6	15	23	7	5	26	
27	11	24	8	29	18	23	8	
24	18	20	25	15	2	16	15	
23	24	2	27	26	14	16	8	
22	26	24	13	21	1	3	11	
6	26	20	10	12	25	10	21	
14	7	29	5	12	1	30	6	
8	17	11	18	17	16	10	8	
12	6	28	19	29	12	23	28	
12	30	13	9	21	6	14	8	
28	26	12	30	28	29	18	23	
22	30	6	30	25	16	28	2	
2	17	12	10	24	6	14	18	
30	19	23	10	7	25	23	4	
16	7	29	13	5	7	11	3	
21	25	8	14	9	2	5	18	
1	28	4	5	2	28	2	2	
1	15	2	28	30	2	4	11	
23	17	8	28	10	20	11	2	
18	22	24	13	17	20	11	12	
16	17	8	13	23	15	13	25	
19	4	9	16	10	28	9	15	
4	14	17	2	20	4	12	15	
27	3	13	16	22	10	4	23	
9	26	30	1	8	19	14	27	
25	26	7	20	22	25	22	23	
26	2	24	10	9	27	3	9	
8	22	16	14	3	30	2	29	
17	7	20	8	6	28	5	23	
30	27	21	7	29	14	14	30	
4	26	1	17	8	15	12	17	
19	13	20	18	14	25	24	1	
7	6	1	10	3	24	22	27	
24	13	15	24	6	5	25	30	
26	10	7	24	18	24	6	22	
5	4	26	6	18	17	11	24	
7	18	4	14	3	13	22	12	
25	2	29	24	27	1	13	8	
6	27	19	18	15	1	2	5	
6	24	3	3	29	2	24	23	
14	17	4	28	15	12	28	8	
9	20	3	24	14	22	19	4	
17	21	1	16	8	3	15	9	
24	29	23	17	18	14	9	17	
1	8	21	16	11	23	16	8	
19	14	1	7	19	16	13	22	
8	9	5	14	15	14	17	2	
17	15	26	1	26	23	19	29	
30	17	1	21	17	7	4	29	
23	28	24	14	26	8	6	1	
27	13	6	5	23	13	24	25	
8	2	12	23	15	29	26	10	
29	9	3	10	29	24	6	12	
3	22	28	29	5	7	10	22	
1	25	30	23	17	24	8	25	
14	28	4	12	4	14	18	8	
7	26	29	11	28	17	27	12	
24	28	15	9	7	23	15	2	
13	19	7	12	13	1	7	21	
25	13	13	7	11	29	28	2	
17	24	5	19	7	26	11	23	
20	26	3	15	15	17	20	22	
3	13	11	11	18	24	25	28	
28	21	21	14	25	20	18	19	
14	20	10	4	20	22	8	10	
26	1	11	26	26	9	11	8	
2	24	19	25	15	15	28	21	
12	28	10	26	11	21	30	24	
26	2	17	23	30	25	25	28	
19	16	30	21	28	25	9	24	
15	19	18	12	10	21	21	15	
13	6	24	19	7	12	6	6	
24	29	4	16	14	26	18	12	
9	11	1	3	25	21	6	15	
10	22	10	20	23	18	11	15	
28	26	2	18	8	1	19	6	
11	6	13	24	8	13	16	25	
19	9	11	3	12	27	24	29	
23	12	7	18	22	21	28	22	
15	24	21	7	21	18	30	21	
23	9	24	18	11	11	11	10	
4	4	5	10	14	27	26	25	
13	7	5	24	8	13	22	20	
