Factories	5
gJobs	200
gStage	10
Number of Machines at each stage
3	3	3	2	2	2	1	2	1	1	
Processing times of jobs
21	22	24	10	6	2	6	4	25	27	
12	12	17	19	17	26	25	14	26	23	
24	28	6	15	20	16	16	21	26	17	
22	15	17	24	17	24	3	12	10	6	
1	28	29	27	28	20	7	16	4	7	
10	19	27	15	8	24	22	18	12	17	
5	19	2	21	18	19	2	2	19	7	
6	8	25	1	13	23	29	2	12	17	
19	16	14	1	10	2	5	24	5	30	
16	2	22	28	27	22	2	6	22	1	
30	14	5	26	2	24	4	28	10	22	
26	26	6	10	15	21	19	5	11	6	
17	7	13	2	18	19	18	22	17	24	
4	11	7	16	16	6	27	3	17	16	
30	5	3	9	26	11	1	18	6	27	
9	4	1	30	29	8	26	7	14	21	
29	28	21	3	5	18	1	20	12	27	
21	19	23	8	13	22	3	2	24	28	
11	24	18	5	9	8	2	9	1	28	
1	13	11	13	27	15	12	11	7	4	
9	10	28	2	27	2	4	27	7	27	
5	24	11	5	11	2	1	8	3	11	
2	5	26	16	8	16	12	15	10	9	
3	4	26	17	30	21	29	22	24	24	
18	20	7	15	20	25	14	23	8	7	
22	15	25	7	12	22	4	11	5	23	
4	1	17	12	17	1	16	1	13	9	
7	26	1	9	25	7	16	11	29	19	
24	12	27	21	26	1	5	23	15	27	
23	12	24	9	18	13	16	27	21	26	
19	23	3	4	7	17	24	29	21	4	
13	18	20	25	24	13	2	12	9	8	
5	23	27	20	2	19	11	1	17	12	
2	25	24	17	13	8	20	6	26	25	
27	14	11	27	24	21	18	3	3	23	
18	17	29	22	23	16	8	4	22	9	
17	21	22	10	13	8	24	5	2	23	
25	14	5	28	1	24	2	3	28	17	
5	13	24	5	2	29	17	6	5	27	
10	23	21	23	29	14	18	25	13	11	
29	8	6	24	6	20	6	28	13	14	
12	3	15	28	21	27	4	13	1	25	
22	26	7	28	7	17	11	5	3	25	
10	28	20	22	28	18	13	10	23	16	
27	21	2	21	5	7	9	18	19	11	
14	5	25	23	10	20	11	19	27	6	
2	23	29	30	2	28	13	17	28	7	
6	17	30	29	10	10	20	12	14	27	
25	30	23	24	6	19	2	4	28	10	
18	21	11	28	17	25	9	13	14	8	
5	2	12	10	7	5	27	2	14	1	
22	20	15	18	17	27	9	22	9	24	
8	1	18	17	29	19	23	6	9	16	
10	30	7	4	8	17	2	17	17	30	
11	17	7	12	1	18	19	25	21	9	
22	7	15	3	14	16	17	5	30	21	
10	2	21	17	16	6	4	21	1	22	
16	21	26	5	17	22	29	8	9	16	
5	5	3	25	8	5	15	12	15	26	
18	15	3	2	20	4	28	18	19	16	
27	6	11	9	5	25	12	28	16	28	
27	7	28	17	19	25	17	12	13	9	
1	23	21	5	22	28	1	24	26	30	
15	11	18	26	5	24	2	27	1	1	
11	23	1	14	29	10	7	13	10	19	
25	13	8	29	5	21	23	27	27	15	
4	3	5	22	11	16	12	15	24	14	
3	3	24	4	25	19	27	7	9	9	
12	26	10	25	26	1	14	9	11	11	
23	14	27	25	30	10	18	17	28	5	
24	4	17	18	9	23	12	26	3	11	
30	23	25	20	6	22	7	10	6	3	
14	14	27	13	11	11	18	16	1	16	
14	4	5	14	15	8	13	15	23	23	
18	15	5	27	28	16	10	6	10	21	
19	7	29	7	16	2	30	20	12	20	
11	11	24	17	24	24	3	27	10	24	
6	18	29	9	4	13	13	9	5	18	
21	15	13	7	22	3	11	16	1	28	
18	29	22	3	8	2	28	10	20	6	
12	17	7	17	2	22	30	17	14	8	
23	16	10	26	12	9	21	28	18	17	
18	17	27	7	25	12	12	15	18	17	
11	9	17	10	12	18	23	14	8	28	
8	30	24	2	18	19	27	28	15	24	
11	14	28	12	20	25	14	19	1	26	
15	30	18	15	8	28	10	2	7	3	
28	10	19	10	17	6	18	29	5	6	
22	6	4	21	1	25	10	27	11	8	
4	5	24	21	2	21	24	28	1	7	
14	28	8	25	3	3	5	26	16	7	
9	21	17	28	27	13	29	19	5	6	
11	10	21	24	17	24	26	7	29	14	
3	26	28	12	23	25	29	4	25	22	
24	18	27	5	14	29	26	14	1	23	
17	25	18	18	28	20	8	30	18	13	
19	9	23	28	20	3	10	10	21	25	
3	27	6	21	3	26	27	28	9	4	
27	7	26	27	14	20	25	1	9	13	
27	23	12	25	10	1	2	4	28	26	
5	29	30	25	14	7	14	4	19	16	
30	11	21	3	30	25	26	14	7	12	
27	8	16	21	5	13	20	9	27	19	
20	1	18	15	13	9	13	17	1	5	
30	12	7	13	12	25	17	29	26	21	
2	16	25	28	1	4	14	23	18	29	
29	10	20	9	21	6	26	8	20	28	
11	6	26	1	24	27	22	21	8	4	
12	9	20	7	30	10	29	26	29	18	
13	30	24	8	24	21	18	9	22	30	
19	8	12	7	2	2	17	3	15	30	
26	22	17	29	6	13	11	29	23	20	
15	21	5	4	1	5	27	7	9	3	
19	5	14	14	20	13	25	1	26	8	
14	24	22	15	28	12	27	10	21	14	
27	24	11	25	2	6	10	21	8	11	
13	25	15	22	20	23	11	1	20	1	
8	28	17	18	2	14	21	9	19	22	
3	10	25	21	29	23	19	30	11	24	
5	15	6	25	19	18	15	26	19	7	
23	26	16	22	11	14	8	26	22	5	
18	24	10	9	30	5	13	2	17	24	
19	11	19	15	8	24	13	23	15	8	
28	13	28	8	13	30	12	8	21	24	
9	21	27	25	3	16	23	11	6	7	
1	24	4	10	11	5	11	18	25	8	
7	4	20	30	9	20	5	2	24	7	
14	17	18	12	14	15	16	24	1	27	
16	12	14	4	6	6	3	29	22	1	
7	19	5	15	3	19	6	3	22	5	
12	16	20	15	14	23	29	23	27	24	
26	18	13	30	6	20	4	5	24	12	
30	4	8	4	19	3	27	6	10	9	
1	29	6	21	1	8	28	10	26	25	
11	25	27	16	7	22	5	29	12	20	
16	8	8	22	9	13	4	5	3	24	
19	30	1	3	26	2	28	11	6	8	
10	11	10	18	3	4	29	9	4	13	
9	6	10	20	25	5	13	12	11	14	
16	3	11	1	24	5	13	16	16	24	
26	5	21	21	8	12	10	24	18	4	
30	1	29	22	13	12	22	29	12	3	
6	15	5	11	2	18	1	22	12	21	
11	15	27	1	20	28	26	15	9	28	
9	22	21	28	22	23	23	21	20	9	
2	2	27	17	30	28	23	16	15	28	
6	20	4	18	1	27	14	14	30	12	
22	16	29	24	4	4	23	17	3	5	
10	7	12	23	4	5	23	6	4	18	
2	23	10	2	7	27	2	2	16	16	
11	19	4	4	21	26	20	21	10	3	
16	15	17	26	13	19	15	26	13	27	
23	3	15	1	17	8	18	6	1	10	
30	30	7	24	11	12	22	17	11	9	
2	11	8	27	29	17	17	28	21	13	
19	9	19	10	19	10	2	21	12	21	
9	21	9	7	18	26	6	30	5	7	
26	4	19	28	3	6	20	29	25	24	
29	21	10	8	21	26	18	27	24	14	
7	25	17	10	16	13	15	14	20	1	
11	26	20	1	15	10	1	8	23	13	
2	27	11	22	24	23	23	8	23	5	
2	8	19	12	13	7	30	4	4	25	
21	29	8	5	17	24	3	2	7	18	
2	4	6	15	27	17	16	30	25	20	
29	2	14	15	30	16	19	23	4	28	
1	4	26	10	2	7	23	27	9	21	
11	20	7	5	18	20	28	17	29	25	
24	1	6	27	24	10	17	19	15	7	
12	15	13	27	30	8	14	24	3	23	
17	30	3	18	17	16	19	16	4	1	
15	26	16	18	2	22	16	14	27	29	
15	8	2	18	1	6	26	27	1	26	
20	2	2	10	18	8	20	8	25	18	
27	10	18	3	29	10	8	23	23	2	
21	26	17	13	20	7	20	21	30	23	
26	2	23	12	27	15	13	22	25	3	
17	18	6	1	11	16	16	14	25	28	
24	25	21	6	15	11	5	17	7	27	
4	20	15	4	13	21	3	24	6	7	
24	15	16	11	17	9	21	9	1	23	
6	11	11	14	3	29	21	13	16	16	
7	1	1	30	26	27	4	30	30	10	
21	4	5	25	24	19	30	14	26	17	
6	28	10	27	24	6	18	13	29	17	
6	21	13	26	4	30	5	19	20	13	
28	28	23	13	29	10	1	19	26	27	
2	10	20	8	17	22	5	22	25	15	
8	16	23	18	24	3	25	4	18	8	
6	4	21	29	11	11	14	14	16	27	
30	15	27	4	23	8	11	3	25	9	
20	23	25	25	13	14	15	10	25	23	
7	15	7	20	27	30	24	16	5	11	
12	4	4	19	9	10	21	30	17	13	
8	5	30	1	1	1	1	5	10	21	
29	4	24	17	3	29	12	6	29	2	
30	10	4	20	12	22	19	14	3	5	
24	8	12	23	26	17	14	19	28	18	
23	19	11	27	27	28	1	9	26	4	
18	29	23	17	22	26	18	5	8	16	
Energy consumption per unit  time for processing
5	5	5	
5	5	5	
6	6	6	
6	6	
6	6	
6	6	
6	
6	6	
6	
6	
Energy consumption per unit  time for idle
3	3	3	
3	3	3	
3	3	3	
3	3	
3	3	
3	3	
4	
4	4	
4	
3	
Energy consumption per unit  time for blocking
2	2	2	
2	2	2	
2	2	2	
2	2	
2	2	
1	1	
1	
1	1	
1	
1	
