Factories	6
gJobs	300
gStage	5
Number of Machines at each stage
1	3	1	2	3	
Processing times of jobs
3	1	29	15	11	
4	4	30	12	12	
28	21	22	13	25	
8	16	2	4	6	
9	21	13	6	25	
13	2	28	6	4	
27	24	8	28	13	
25	12	27	14	13	
3	10	19	6	20	
26	30	23	19	18	
6	17	28	25	10	
26	11	17	10	3	
4	25	8	5	14	
14	3	10	24	25	
29	17	13	13	2	
26	25	13	14	7	
25	13	21	1	24	
28	13	27	7	13	
30	15	16	18	2	
26	27	29	19	25	
2	16	27	7	3	
7	18	2	16	30	
15	22	2	22	6	
18	8	16	4	11	
27	27	10	17	13	
19	9	30	26	17	
17	21	22	19	9	
23	20	8	25	2	
23	25	12	9	20	
5	27	27	1	16	
15	11	28	8	24	
10	30	25	28	4	
30	22	25	1	18	
16	30	11	16	6	
5	13	11	4	1	
16	11	1	6	28	
5	8	30	23	7	
14	22	1	5	20	
25	20	23	9	29	
9	8	9	20	25	
29	7	23	6	15	
25	8	25	9	1	
18	3	10	2	30	
14	30	6	12	14	
18	29	24	2	16	
8	12	30	23	22	
13	1	19	28	27	
22	27	8	17	21	
13	29	11	10	25	
20	27	10	27	18	
28	2	23	20	22	
17	21	4	13	27	
10	1	1	4	27	
17	1	18	24	16	
17	3	24	12	8	
26	15	8	25	30	
3	1	24	5	12	
14	16	21	19	20	
19	9	29	12	20	
15	13	12	30	19	
8	25	25	9	17	
22	29	13	3	8	
7	19	21	21	26	
9	21	19	15	19	
27	18	26	13	18	
5	18	25	9	17	
4	28	10	27	19	
29	28	29	16	14	
27	23	26	26	2	
18	14	29	6	23	
6	28	1	20	1	
12	23	13	23	8	
4	14	25	27	15	
2	25	14	3	3	
20	30	20	15	8	
4	15	27	16	8	
13	2	26	9	4	
15	26	21	23	4	
19	21	28	14	14	
17	13	22	23	22	
29	25	25	13	17	
7	15	3	16	28	
5	13	20	30	22	
9	5	4	1	6	
2	2	30	25	10	
6	16	18	5	12	
18	18	19	15	1	
27	2	12	4	28	
29	6	14	11	7	
28	5	13	26	29	
26	12	14	23	12	
25	7	8	2	4	
16	15	23	14	30	
20	24	23	18	2	
19	17	17	1	3	
10	6	27	2	22	
21	11	18	27	12	
13	6	20	29	29	
15	16	30	1	3	
10	2	13	13	28	
15	3	26	29	1	
10	14	4	5	7	
5	16	27	18	20	
8	25	30	1	8	
21	7	8	7	19	
25	29	15	13	26	
25	24	30	29	19	
10	17	7	2	6	
29	11	20	24	25	
14	27	27	5	16	
3	2	20	16	6	
11	12	21	2	8	
5	1	20	29	17	
12	25	3	4	24	
19	16	3	29	27	
5	28	17	14	1	
2	20	18	16	7	
20	20	16	30	27	
21	7	6	4	26	
28	5	17	11	23	
11	25	15	1	18	
11	9	4	9	27	
26	27	5	7	9	
5	10	1	27	15	
26	11	23	10	2	
3	5	9	29	8	
1	2	4	24	22	
24	12	11	3	10	
16	28	3	23	26	
27	16	21	9	1	
11	26	5	1	13	
2	15	24	2	9	
3	9	23	21	18	
4	13	28	15	15	
11	16	13	24	21	
2	3	11	17	25	
9	14	26	4	7	
21	29	27	3	1	
20	17	30	20	27	
12	2	18	9	10	
2	28	25	11	11	
20	8	2	10	3	
26	18	3	13	28	
27	30	14	17	30	
26	11	9	10	7	
1	14	28	10	4	
24	12	24	16	5	
4	1	14	19	24	
22	7	22	7	1	
8	12	15	23	30	
10	26	19	12	19	
23	27	16	20	3	
14	27	20	21	23	
4	4	30	7	23	
8	2	20	27	22	
15	4	22	13	8	
11	22	18	22	25	
4	2	12	30	7	
17	18	7	5	13	
22	28	17	2	9	
14	14	9	1	14	
19	16	28	11	20	
21	14	24	11	15	
25	15	17	17	10	
12	12	14	30	5	
22	4	16	24	7	
23	26	19	29	23	
26	30	28	22	1	
30	19	6	24	13	
11	12	13	21	25	
28	11	10	15	22	
16	4	16	20	11	
8	18	18	4	6	
10	27	23	26	28	
10	3	8	16	12	
1	27	2	17	15	
23	2	27	15	9	
29	1	1	20	23	
21	19	16	14	30	
28	10	18	3	24	
1	2	7	5	16	
29	18	26	22	4	
14	9	14	16	11	
5	21	10	25	9	
12	8	27	8	14	
29	13	21	12	12	
27	16	25	27	2	
15	8	21	20	19	
11	1	4	4	1	
9	19	12	3	21	
9	3	30	17	8	
4	7	2	11	24	
8	8	14	17	28	
5	9	23	3	11	
28	21	15	2	4	
24	6	8	29	13	
24	17	1	15	11	
27	24	16	20	28	
18	12	9	29	22	
12	27	12	4	13	
26	29	25	21	6	
1	4	8	6	25	
7	17	8	3	1	
10	24	1	16	25	
18	1	6	21	16	
3	21	20	24	20	
19	25	13	16	16	
24	7	27	6	19	
20	10	7	2	10	
20	21	6	5	7	
3	3	9	12	29	
2	23	26	3	28	
14	5	23	2	10	
20	3	19	16	20	
4	21	8	1	29	
