Factories	4
gJobs	250
gStage	5
Number of Machines at each stage
1	1	3	2	2	
Processing times of jobs
26	17	5	28	26	
22	22	12	12	30	
6	13	4	16	6	
10	21	5	22	18	
18	16	20	11	23	
15	18	27	16	29	
22	29	6	11	28	
9	14	18	3	29	
29	5	20	7	26	
29	20	11	10	22	
2	20	9	28	8	
11	6	30	2	15	
16	23	5	24	28	
22	3	16	10	18	
22	29	24	24	29	
8	30	12	9	12	
24	27	26	9	13	
19	1	10	23	26	
1	11	25	11	6	
5	3	28	14	22	
10	2	23	29	17	
9	23	25	13	23	
28	18	29	9	21	
7	26	20	18	3	
19	30	25	24	20	
2	25	2	30	18	
10	23	22	25	1	
7	1	23	26	25	
9	15	19	7	4	
22	29	2	19	3	
9	11	7	25	11	
4	10	3	24	21	
14	27	9	9	25	
13	7	19	4	23	
18	28	7	13	3	
15	14	25	11	12	
2	28	13	25	1	
5	6	29	25	6	
23	25	16	19	11	
29	6	10	5	22	
7	18	20	10	20	
14	18	13	10	17	
2	10	11	14	24	
4	20	13	22	15	
6	25	3	16	10	
15	16	17	5	10	
28	16	30	8	22	
15	29	18	15	5	
27	8	24	3	24	
12	1	19	4	4	
14	3	29	7	24	
12	3	14	20	17	
14	18	12	19	9	
10	20	6	25	21	
4	15	9	19	27	
14	6	28	16	11	
18	4	18	2	13	
1	20	25	8	12	
13	8	2	19	25	
18	8	21	16	8	
5	9	15	4	4	
21	16	2	12	23	
27	10	4	27	24	
13	6	12	25	14	
10	16	17	1	12	
2	1	13	18	27	
2	25	6	18	26	
8	27	10	3	2	
23	24	26	2	25	
8	20	13	1	13	
15	16	30	13	27	
9	8	1	18	14	
21	8	30	15	18	
12	27	18	14	17	
13	1	26	27	21	
12	24	12	22	16	
23	22	28	17	10	
29	23	3	1	12	
22	8	21	25	14	
21	24	4	29	6	
16	13	18	16	11	
7	9	8	20	18	
16	22	29	11	23	
25	21	29	5	2	
2	10	29	17	12	
19	24	29	30	15	
17	10	8	12	17	
2	30	17	29	30	
16	12	14	9	30	
27	10	6	13	29	
9	25	14	18	12	
12	3	11	24	15	
30	12	25	19	19	
8	16	17	2	15	
19	11	18	27	7	
21	6	11	4	29	
23	24	3	7	26	
30	19	21	19	15	
6	19	27	29	18	
15	24	6	3	23	
17	17	28	25	27	
2	25	29	20	7	
16	3	23	13	19	
25	14	11	28	16	
17	7	29	12	24	
3	18	18	9	27	
26	22	22	24	12	
13	5	27	17	16	
14	16	2	16	4	
18	29	23	30	12	
9	18	8	1	19	
15	11	3	3	11	
15	8	18	7	4	
13	3	23	24	27	
14	3	9	21	22	
16	29	24	25	13	
17	3	20	19	2	
13	26	24	10	17	
29	3	28	13	21	
13	22	21	13	5	
5	6	18	22	15	
4	30	3	15	27	
28	9	13	21	19	
19	9	5	10	9	
8	23	18	19	17	
8	4	22	19	1	
26	16	7	9	5	
27	22	2	30	17	
3	20	18	16	3	
3	24	3	4	23	
25	14	27	8	8	
6	28	5	8	2	
11	3	15	10	19	
15	5	29	24	2	
11	15	23	12	28	
7	20	29	28	20	
19	17	22	10	30	
9	24	23	6	3	
25	5	21	1	18	
1	26	8	4	16	
14	8	8	10	18	
23	15	29	5	14	
12	14	7	3	18	
6	17	2	8	29	
14	28	19	16	29	
16	4	4	26	26	
23	16	10	9	25	
22	18	18	13	23	
5	21	30	19	23	
28	9	1	22	2	
27	15	20	4	2	
22	23	19	12	7	
15	22	28	18	16	
28	11	13	7	30	
6	2	29	30	29	
19	20	9	8	10	
21	6	8	18	19	
7	24	28	26	20	
12	26	18	9	15	
16	9	29	10	28	
28	13	5	3	6	
5	5	14	9	21	
29	28	16	26	19	
2	17	6	11	5	
13	30	10	14	17	
22	14	1	1	12	
14	17	6	16	9	
7	6	9	16	11	
11	8	8	22	2	
7	22	7	3	1	
3	28	21	26	18	
20	27	12	3	1	
13	24	3	4	23	
6	6	9	8	11	
24	13	15	8	15	
23	18	26	7	13	
21	16	13	6	27	
8	2	30	17	19	
24	30	6	2	19	
16	1	7	15	9	
9	28	10	16	13	
2	28	2	7	19	
30	9	22	7	9	
12	1	7	1	12	
2	17	13	5	23	
29	9	21	11	23	
26	19	26	27	6	
2	8	17	1	1	
9	3	4	2	29	
5	1	27	15	6	
12	14	27	29	10	
12	11	25	17	17	
13	25	3	18	12	
30	19	28	23	4	
15	8	3	1	25	
28	7	9	29	24	
28	25	29	22	26	
28	15	6	22	20	
10	11	24	22	30	
6	6	27	13	20	
17	26	26	14	8	
13	2	13	25	18	
17	26	22	3	23	
24	12	5	13	25	
9	24	9	12	12	
21	9	9	7	1	
21	14	29	1	15	
25	27	18	15	3	
20	6	17	26	30	
10	6	12	17	28	
6	25	25	17	12	
30	27	15	4	22	
3	15	17	13	24	
21	19	11	11	28	
15	1	15	17	25	
6	5	7	6	20	
5	21	22	23	17	
25	23	9	20	16	
27	21	21	5	25	
27	5	27	28	3	
24	5	17	27	8	
2	22	4	18	17	
17	12	21	6	7	
17	29	28	14	13	
12	24	5	17	13	
4	8	22	22	4	
18	27	9	23	21	
17	14	18	30	19	
30	6	11	2	8	
15	23	17	19	24	
1	10	23	6	4	
6	1	13	7	3	
8	2	19	10	30	
9	16	16	10	5	
4	26	1	5	24	
15	3	26	14	16	
23	17	29	29	27	
19	1	22	2	26	
14	29	13	29	27	
4	10	13	8	24	
19	6	3	4	18	
22	3	16	25	11	
30	28	19	4	9	
19	25	27	1	10	
25	13	22	19	27	
14	25	5	21	15	
27	26	10	12	21	
25	27	6	16	19	
8	10	20	17	2	
16	1	4	21	29	
Energy consumption per unit  time for processing
6	
5	
5	5	5	
5	5	
6	6	
Energy consumption per unit  time for idle
4	
4	
4	4	4	
3	3	
4	4	
Energy consumption per unit  time for blocking
1	
2	
1	1	1	
2	2	
2	2	
